Inputs,Tool Outputs
"Compose an email to Sarah with the subject \""Workshop Timetable\"" and attach the document \""Timetable.docx\"". Please include the location map of the venue in the email context for tomorrow's party.","{'get_email_address': ['Sarah'], 'open_and_get_file_path': ['Timetable.docx'], 'maps_open_location': ['venue'], 'compose_new_email': [['$1'], [], 'Workshop Timetable', ""Please find the attached document for the workshop timetable. Also, here is the location map of the venue for tomorrow's party: $3"", ['$2']], 'join': []}"
"Open the note titled \""Grocery List\"" in the \""Personal\"" folder, then forward the email to John and Jane with the directions from \""Home\"" to \""Work\"" for walking attached.","{'open_note': ['Grocery List', 'Personal'], 'get_email_address': ['Jane'], 'maps_show_directions': ['Home', 'Work', 'w'], 'forward_email': [['$2', '$3'], [], '$4', []], 'join': []}"
"Summarize the \""MarketingProposal.pdf\"" document and send a text message to Sarah and John with the summary details.","{'open_and_get_file_path': ['MarketingProposal.pdf'], 'summarize_pdf': ['$1'], 'get_phone_number': ['John'], 'send_sms': [['$3', '$4'], '$2'], 'join': []}"
"Compose an email to Sarah with the summary of the document \""ScienceReport.pdf\"" attached as well as the Zoom reunion link in the context for tomorrow's reunion at 1:00 PM.","{'get_email_address': ['Sarah'], 'open_and_get_file_path': ['ScienceReport.pdf'], 'summarize_pdf': ['$2'], 'get_zoom_meeting_link': ['Reunion', '2023-04-20 13:00:00', 60, ['$1']], 'compose_new_email': [['$1'], [], ""Summary and Zoom Link for Tomorrow's Reunion"", '$4', ['$3']], 'join': []}"
"Create a calendar event for the team building activity on next Saturday from 2 PM to 5 PM at The Whitney, inviting John.Doe@gmail.com and Jane.Smith@gmail.com. Afterwards, summarize the content of the \""TeamBuildingIdeas.pdf\"" document.","{'create_calendar_event': ['Team Building Activity', '2023-11-19 14:00:00', '2023-11-19 17:00:00', 'The Whitney', ['John.Doe@gmail.com', 'Jane.Smith@gmail.com'], '', None], 'open_and_get_file_path': ['TeamBuildingIdeas.pdf'], 'summarize_pdf': ['$2'], 'join': []}"
"Create a note titled \""Recipe Ideas\"" with various recipe suggestions for dinner in the \""Cooking\"" folder.","{'create_note': ['Recipe Ideas', 'Various recipe suggestions for dinner:', 'Cooking'], 'join': []}"
"Reply to the email from Mark with the conference details attached, create a calendar event titled \""Team Presentation\"" for next Friday at 2:00 PM with John.Doe@email.com and Mary.Smith@email.com invited, and then create a note in the \""Project Ideas\"" folder with brainstorming notes for the presentation.","{'open_and_get_file_path': ['conference details'], 'reply_to_email': [[], 'Please find the conference details attached.', ['$1']], 'create_calendar_event': ['Team Presentation', '2023-06-02 14:00:00', '2023-06-02 15:00:00', '', ['John.Doe@email.com', 'Mary.Smith@email.com'], '', None], 'create_note': ['Brainstorming Notes', 'Initial brainstorming ideas for the team presentation.', 'Project Ideas'], 'join': []}"
"Create a note titled \""Travel Itinerary\"" with the flight details and accommodation addresses for the upcoming trip to Paris, then open directions to the hotel in Apple Maps. After that, reply to the email thread with Emma and attach the itinerary note for her reference.","{'create_note': ['Travel Itinerary', 'Flight details and accommodation addresses for the upcoming trip to Paris.', ''], 'maps_show_directions': ['', 'hotel in Paris', 'd'], 'get_email_address': ['Emma'], 'open_note': ['Travel Itinerary', ''], 'reply_to_email': [['$3'], '$4', ['$2']], 'join': []}"
"Get directions from your current location to \""The Met\"" for a leisurely walk, and then append some additional notes to the existing note \""Lesson Notes\"" in the default folder.","{'maps_show_directions': ['', 'The Met', 'w'], 'append_note_content': ['Lesson Notes', 'Additional notes will be added here.', ''], 'join': []}"
"Open the file named \""Vacation_Plans.docx\"" and locate directions to the nearest ice cream parlor in Apple Maps.","{'open_and_get_file_path': ['Vacation_Plans.docx'], 'maps_show_directions': ['', 'nearest ice cream parlor', 'd'], 'join': []}"
"Forward the email to John and Jane, include some additional comments, and attach the \""Match Schedule.pdf\"" file. Afterwards, send a quick SMS to Mary and Sam about the course update.","{'get_email_address': ['Jane'], 'open_and_get_file_path': ['Match Schedule.pdf'], 'get_phone_number': ['Sam'], 'forward_email': [['$1', '$2'], [], 'Please see the attached match schedule for the upcoming games.', ['$3']], 'send_sms': [['$4', '$5'], 'Quick update: The course material has been updated. Please check your email for the latest information.'], 'join': []}"
Reply to the email with additional feedback and attach the summary report for further reference.,"{'open_and_get_file_path': ['summary report'], 'summarize_pdf': ['$1'], 'reply_to_email': [[], 'Please find additional feedback attached for further reference.', ['$2']], 'join': []}"
"Open the \""VacationPhotos.docx\"" document for editing.","{'open_and_get_file_path': ['VacationPhotos.docx'], 'join': []}"
"Show me directions from \""Home\"" to \""School\"" by walking.","{'maps_show_directions': ['Home', 'School', 'w'], 'join': []}"
"Add the conference notes to the existing note titled \""Team Get-together Schedule\"" in the \""Get-togethers\"" folder, then compose a new email to John and Sarah with the subject \""Get-together Recap\"" and attach the \""Recap.pdf\"" file. ","{'get_email_address': ['Sarah'], 'append_note_content': ['Team Get-together Schedule', 'conference notes', 'Get-togethers'], 'open_and_get_file_path': ['Recap.pdf'], 'compose_new_email': [['$1', '$2'], [], 'Get-together Recap', '', ['$4']], 'join': []}"
"Create a note titled \""Recipe Ideas\"" with different recipes for dinner, then open this note to add a summary of the \""Cookbook.pdf\"" file that you have.","{'create_note': ['Recipe Ideas', 'Different recipes for dinner will be added here.', ''], 'open_and_get_file_path': ['Cookbook.pdf'], 'summarize_pdf': ['$2'], 'append_note_content': ['Recipe Ideas', '$3', ''], 'join': []}"
"Add the new recipe for \""Spicy Chicken Pasta\"" to the \""Recipes\"" note.","{'append_note_content': ['Recipes', 'New Recipe: Spicy Chicken Pasta', ''], 'join': []}"
"Reply to the email and attach the updated report \""Sales_Report_2022.pdf\"" for review.","{'open_and_get_file_path': ['Sales_Report_2022.pdf'], 'reply_to_email': [[], 'Please find the attached updated sales report for your review.', ['$1']], 'join': []}"
"Open the note titled \""Shopping List\"" from the \""Personal\"" folder.","{'open_note': ['Shopping List', 'Personal'], 'join': []}"
Forward the email to Jane and Mark with the updates related to the project attached for their review.,"{'get_email_address': ['Mark'], 'open_and_get_file_path': ['project updates'], 'forward_email': [['$1', '$2'], [], 'Please review the attached updates related to the project.', ['$3']], 'join': []}"
"Create a reminder to \""Submit Essay\"" by Friday with high priority and add notes on key points to remember for submission.","{'create_reminder': ['Submit Essay', '2024-01-19 23:59:59', 'Key points to remember for submission.', '', 1, True], 'create_note': ['Essay Submission Points', 'Key points to remember for submission:', ''], 'join': []}"
"Open the file \""Homework.docx\"" to review and create a note on the summarized key points for the upcoming test.","{'open_and_get_file_path': ['Homework.docx'], 'summarize_pdf': ['$1'], 'create_note': ['Key Points for Upcoming Test', '$2', ''], 'join': []}"
"Please summarize the content of the document \""Marketing_Plan.pdf\"" after opening it.","{'open_and_get_file_path': ['Marketing_Plan.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
"Open directions to \""Golden Gate Park\"" in Apple Maps and append the details of the park layout to the existing note \""Outdoor Destinations\"" in the \""Travel\"" folder.","{'maps_show_directions': ['', 'Golden Gate Park', 'd'], 'append_note_content': ['Outdoor Destinations', 'Details of the park layout: Golden Gate Park', 'Travel'], 'join': []}"
"Compose a new email to John with the subject \""Course Plan\"" and attach the project brief document. Additionally, reply to the latest email in the thread, including Sarah in the cc field, and attach the game notes document.","{'get_email_address': ['Sarah'], 'open_and_get_file_path': ['game notes'], 'compose_new_email': [['$1'], [], 'Course Plan', '', ['$2']], 'reply_to_email': [['$3'], '', ['$4']], 'join': []}"
"Forward the email to John and Emily with the attached report, then append additional notes to the existing note titled \""Client Class\"" in the \""Business\"" folder, and finally send a message to Mark and Sara regarding the debate list.","{'get_email_address': ['Emily'], 'open_and_get_file_path': ['report'], 'forward_email': [['$1', '$2'], [], '', ['$3']], 'get_phone_number': ['Sara'], 'append_note_content': ['Client Class', 'Additional notes', 'Business'], 'send_sms': [['$5', '$6'], 'Please refer to the debate list for the upcoming discussion.'], 'join': []}"
"Forward the quarterly report email to John and Emily, providing updates and attach the financial analysis document and create a reminder called \""Review Budget\"" due next Friday with high priority.","{'get_email_address': ['Emily'], 'open_and_get_file_path': ['financial analysis document'], 'forward_email': [['$1', '$2'], [], 'Providing updates on the quarterly report', ['$3']], 'create_reminder': ['Review Budget', '2023-03-03 00:00:00', '', '', 1, True], 'join': []}"
"Schedule a study group lesson for next Monday from 3:00 PM to 5:00 PM at the library with John, Sarah, and Emily as attendees.","{'get_email_address': ['Emily'], 'create_calendar_event': ['Study Group Lesson', '2022-05-02 15:00:00', '2022-05-02 17:00:00', 'the library', ['$1', '$2', '$3'], '', None], 'join': []}"
"Please summarize the content of the \""ResearchPaper.pdf\"" file.","{'open_and_get_file_path': ['ResearchPaper.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
"Send an email to John and Emma with the subject \""Campaign Tomorrow\"" and a map showing directions from \""Fordham University\"" to \""Empire State Building\"" for your lunch celebration using walking directions.","{'get_email_address': ['Emma'], 'maps_show_directions': ['Fordham University', 'Empire State Building', 'w'], 'compose_new_email': [['$1', '$2'], [], 'Campaign Tomorrow', 'Please see the attached map for walking directions from Fordham University to the Empire State Building for our lunch celebration.', ['$3']], 'join': []}"
"Show me walking directions from \""Home\"" to \""School\"" utilizing Apple Maps.","{'maps_show_directions': ['Home', 'School', 'w'], 'join': []}"
"Create a reminder to \""Buy Birthday Gift for Mom\"" due next Sunday with priority set to high. Then, open the location of the nearest gift shop in Apple Maps.","{'create_reminder': ['Buy Birthday Gift for Mom', '2024-01-22 00:00:00', '', '', 1, True], 'maps_open_location': ['nearest gift shop'], 'join': []}"
"Forward the email with the latest project updates to John, Sarah, and Emma with additional notes attached.","{'get_email_address': ['Emma'], 'open_and_get_file_path': ['additional notes'], 'forward_email': [['$1', '$2', '$3'], [], 'Please see the latest project updates as discussed.', ['$4']], 'join': []}"
"Send driving directions from your current location to \""Eleven Madison Park\"" via SMS to John Doe and reply to the latest email with the directions attached as a map link.","{'get_phone_number': ['John Doe'], 'maps_show_directions': ['', 'Eleven Madison Park', 'd'], 'send_sms': [['$1'], '$2'], 'reply_to_email': [[], '$2', []], 'join': []}"
"Show me walking directions from home to the park using Apple Maps and summarize the contents of the \""Family Picnic Itinerary.pdf\"" document.","{'maps_show_directions': ['home', 'the park', 'w'], 'open_and_get_file_path': ['Family Picnic Itinerary.pdf'], 'summarize_pdf': ['$2'], 'join': []}"
Forward the email to Peter with the project updates attached.,"{'get_email_address': ['Peter'], 'open_and_get_file_path': ['project updates'], 'forward_email': [['$1'], [], '', ['$2']], 'join': []}"
"Summarize the \""Monthly Sales Report.pdf\"" and create a reminder to review it by next Monday at 10:00 AM.","{'open_and_get_file_path': ['Monthly Sales Report.pdf'], 'summarize_pdf': ['$1'], 'create_reminder': ['Review Monthly Sales Report', '2024-04-09 10:00:00', '', '', 0, False], 'join': []}"
"Compose a new email to Peter with the summary of the document \""Product Launch Plan.pdf\"" attached.","{'get_email_address': ['Peter'], 'open_and_get_file_path': ['Product Launch Plan.pdf'], 'summarize_pdf': ['$2'], 'compose_new_email': [['$1'], [], 'Summary of Product Launch Plan', ""Please find attached the summary of the 'Product Launch Plan' document."", ['$3']], 'join': []}"
"Forward the email to Mary and John, cc Sarah, and attach the document \""Proposal.pdf\"". Afterward, send a reply via email to the sender.","{'get_email_address': ['Sarah'], 'open_and_get_file_path': ['Proposal.pdf'], 'forward_email': [['$1', '$2'], ['$3'], '', ['$4']], 'reply_to_email': [[], 'Your email has been forwarded as requested.', []], 'join': []}"
"Update the note \""Competition Itinerary\"" with the new points discussed today. Compose an email to John with the subject \""Competition Recap\"" and attach the summary report. Additionally, create a reminder to follow up on action items by next Monday at 10:00 AM.","{'open_and_get_file_path': ['summary report'], 'get_email_address': ['John'], 'append_note_content': ['Competition Itinerary', 'New points discussed today:', ''], 'compose_new_email': [['$2'], [], 'Competition Recap', ""Please find attached the summary report with the new points discussed in today's meeting."", ['$1']], 'create_reminder': ['Follow up on Competition action items', '2023-08-12 10:00:00', 'Follow up on the action items from the competition meeting.', '', 0, False], 'join': []}"
"Create a note named \""Grocery List\"" with items \""milk, eggs, bread, fruits\"" in the \""Shopping\"" folder.","{'create_note': ['Grocery List', 'Items: milk, eggs, bread, fruits', 'Shopping'], 'join': []}"
"Create a reminder to \""Buy birthday gift for mom\"" on Friday and set high priority.","{'create_reminder': ['Buy birthday gift for mom', '2024-09-05 00:00:00', '', '', 1, True], 'join': []}"
"Summarize the content of the \""AnnualReport.pdf\"" file.","{'open_and_get_file_path': ['AnnualReport.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
"Please summarize the \""EngineeringReport.pdf\"" file for me.","{'open_and_get_file_path': ['EngineeringReport.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
"Schedule a study group session on Saturday at 10:00 AM to 12:00 PM via Zoom with Alex, Lily, and Max, on MacBook Bookstore's study room.","{'get_email_address': ['Max'], 'get_zoom_meeting_link': ['Study Group Session', '2025-04-05 10:00:00', 120, ['$1', '$2', '$3']], 'create_calendar_event': ['Study Group Session', '2025-04-05 10:00:00', '2025-04-05 12:00:00', ""MacBook Bookstore's study room"", ['$1', '$2', '$3'], '$4', None], 'join': []}"
"Create a reminder called \""Pay Rent\"" due next week with the note \""Don't forget to pay rent on time\"" and set it as an all-day event with high priority.","{'create_reminder': ['Pay Rent', '2024-08-31', ""Don't forget to pay rent on time"", '', 1, True], 'join': []}"
"Summarize the \""HistoryPaper.pdf\"" and append key points to the note \""Exam Preparation\"" in the \""Study\"" folder. Then, show walking directions from \""Current Location\"" to \""Library\"" in Apple Maps.","{'open_and_get_file_path': ['HistoryPaper.pdf'], 'summarize_pdf': ['$1'], 'append_note_content': ['Exam Preparation', '$2', 'Study'], 'maps_show_directions': ['', 'Library', 'w'], 'join': []}"
"Set a reminder to \""Buy Birthday Gift\"" for next Saturday, mark it as an all-day event with high priority, and include a note about gift ideas.","{'create_reminder': ['Buy Birthday Gift', '2024-03-24', 'Gift ideas: [list some potential gifts here]', '', 1, True], 'join': []}"
"Forward the email about the party details to John and Sarah with the cc to Emily, and attach the party invitation as an attachment. After that, look up Emily's email address and get directions from \""Home\"" to \""Party Venue\"" for tomorrow evening.","{'get_email_address': ['Emily'], 'open_and_get_file_path': ['party invitation'], 'forward_email': [['$1', '$2'], ['$3'], '', ['$4']], 'maps_show_directions': ['Home', 'Party Venue', 'd'], 'join': []}"
"Open Apple Maps and search for the nearest coffee shop to \""123 Main Street\"".","{'maps_open_location': ['coffee shop near 123 Main Street'], 'join': []}"
