input,tool_outputs
"Open the note titled \""Grocery List\"" in the \""Personal\"" folder, then forward the email to John and Jane with the directions from \""Home\"" to \""Work\"" for walking attached.","{'open_note': ['Grocery List', 'Personal'], 'maps_show_directions': ['Home', 'Work', 'w'], 'get_email_address': ['Jane'], 'forward_email': [['$3', '$4'], [], '', ['$1']], 'join': []}"
"Summarize the \""MarketingProposal.pdf\"" document and send a text message to Sarah and John with the summary details.","{'open_and_get_file_path': ['MarketingProposal.pdf'], 'summarize_pdf': ['$1'], 'get_phone_number': ['John'], 'send_sms': [['$3', '$4'], ""Summary of the 'MarketingProposal.pdf' document: $2""], 'join': []}"
"Compose an email to Sarah with the summary of the document \""ScienceReport.pdf\"" attached as well as the Zoom reunion link in the context for tomorrow's reunion at 1:00 PM.",{}
"Create a calendar event for the team building activity on next Saturday from 2 PM to 5 PM at The Whitney, inviting John.Doe@gmail.com and Jane.Smith@gmail.com. Afterwards, summarize the content of the \""TeamBuildingIdeas.pdf\"" document.","{'create_calendar_event': ['Team Building Activity', '2024-12-07 14:00:00', '2024-12-07 16:00:00', 'The Whitney', ['John.Doe@gmail.com', 'Jane.Smith@gmail.com'], '', None], 'open_and_get_file_path': ['TeamBuildingIdeas.pdf'], 'summarize_pdf': ['$2'], 'join': []}"
"Create a note titled \""Recipe Ideas\"" with various recipe suggestions for dinner in the \""Cooking\"" folder.","{'create_note': ['Recipe Ideas', 'Various recipe suggestions for dinner will be added here.', 'Cooking'], 'join': []}"
"Reply to the email from Mark with the conference details attached, create a calendar event titled \""Team Presentation\"" for next Friday at 2:00 PM with John.Doe@email.com and Mary.Smith@email.com invited, and then create a note in the \""Project Ideas\"" folder with brainstorming notes for the presentation.",{}
"Create a note titled \""Travel Itinerary\"" with the flight details and accommodation addresses for the upcoming trip to Paris, then open directions to the hotel in Apple Maps. After that, reply to the email thread with Emma and attach the itinerary note for her reference.",{}
"Get directions from your current location to \""The Met\"" for a leisurely walk, and then append some additional notes to the existing note \""Lesson Notes\"" in the default folder.",Error: 1
"Open the file named \""Vacation_Plans.docx\"" and locate directions to the nearest ice cream parlor in Apple Maps.","{'open_and_get_file_path': ['Vacation_Plans.docx'], 'maps_show_directions': ['', 'nearest ice cream parlor', 'd'], 'join': []}"
"Forward the email to John and Jane, include some additional comments, and attach the \""Match Schedule.pdf\"" file. Afterwards, send a quick SMS to Mary and Sam about the course update.",{}
Reply to the email with additional feedback and attach the summary report for further reference.,{}
"Open the \""VacationPhotos.docx\"" document for editing.",{}
"Show me directions from \""Home\"" to \""School\"" by walking.","{'maps_show_directions': ['Home', 'School', 'w'], 'join': []}"
"Add the conference notes to the existing note titled \""Team Get-together Schedule\"" in the \""Get-togethers\"" folder, then compose a new email to John and Sarah with the subject \""Get-together Recap\"" and attach the \""Recap.pdf\"" file. ",{}
"Create a note titled \""Recipe Ideas\"" with different recipes for dinner, then open this note to add a summary of the \""Cookbook.pdf\"" file that you have.",{}
"Add the new recipe for \""Spicy Chicken Pasta\"" to the \""Recipes\"" note.",Error: 1
"Reply to the email and attach the updated report \""Sales_Report_2022.pdf\"" for review.","{'open_and_get_file_path': ['updated report'], 'reply_to_email': [[], 'Please find attached the updated sales report for your review.', ['$1']], 'join': []}"
"Open the note titled \""Shopping List\"" from the \""Personal\"" folder.",{}
Forward the email to Jane and Mark with the updates related to the project attached for their review.,"{'get_email_address': ['Mark'], 'open_and_get_file_path': ['updates related to the project'], 'forward_email': [['$1', '$2'], [], '', ['$3']], 'join': []}"
"Create a reminder to \""Submit Essay\"" by Friday with high priority and add notes on key points to remember for submission.","{'create_reminder': ['Submit Essay', '2024-12-05 23:59:59', 'Remember to include all key points discussed in the essay.', '', 1, True], 'join': []}"
"Open the file \""Homework.docx\"" to review and create a note on the summarized key points for the upcoming test.","{'open_and_get_file_path': ['Homework.docx'], 'summarize_pdf': ['$1'], 'join': []}"
"Please summarize the content of the document \""Marketing_Plan.pdf\"" after opening it.","{'open_and_get_file_path': ['Marketing_Plan.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
"Open directions to \""Golden Gate Park\"" in Apple Maps and append the details of the park layout to the existing note \""Outdoor Destinations\"" in the \""Travel\"" folder.","{'maps_show_directions': ['', 'Golden Gate Park', 'd'], 'append_note_content': ['Outdoor Destinations', '$1', 'Travel'], 'maps_open_location': ['Golden Gate Park'], 'join': []}"
"Compose a new email to John with the subject \""Course Plan\"" and attach the project brief document. Additionally, reply to the latest email in the thread, including Sarah in the cc field, and attach the game notes document.",{}
"Forward the email to John and Emily with the attached report, then append additional notes to the existing note titled \""Client Class\"" in the \""Business\"" folder, and finally send a message to Mark and Sara regarding the debate list.",{}
"Forward the quarterly report email to John and Emily, providing updates and attach the financial analysis document and create a reminder called \""Review Budget\"" due next Friday with high priority.",{}
"Schedule a study group lesson for next Monday from 3:00 PM to 5:00 PM at the library with John, Sarah, and Emily as attendees.","{'get_email_address': ['Emily'], 'create_calendar_event': ['Study Group Lesson', '2024-12-05 15:00:00', '2024-12-05 17:00:00', 'the library', ['$1', '$2', '$3'], '', None], 'join': []}"
"Please summarize the content of the \""ResearchPaper.pdf\"" file.","{'open_and_get_file_path': ['ResearchPaper.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
"Send an email to John and Emma with the subject \""Campaign Tomorrow\"" and a map showing directions from \""Fordham University\"" to \""Empire State Building\"" for your lunch celebration using walking directions.",{}
"Show me walking directions from \""Home\"" to \""School\"" utilizing Apple Maps.","{'maps_show_directions': ['Home', 'School', 'w'], 'join': []}"
"Create a reminder to \""Buy Birthday Gift for Mom\"" due next Sunday with priority set to high. Then, open the location of the nearest gift shop in Apple Maps.",{}
"Forward the email with the latest project updates to John, Sarah, and Emma with additional notes attached.","{'get_email_address': ['Emma'], 'open_and_get_file_path': ['latest project updates'], 'forward_email': [['$1', '$2', '$3'], [], '', ['$4']], 'join': []}"
"Send driving directions from your current location to \""Eleven Madison Park\"" via SMS to John Doe and reply to the latest email with the directions attached as a map link.",{}
"Show me walking directions from home to the park using Apple Maps and summarize the contents of the \""Family Picnic Itinerary.pdf\"" document.","{'maps_show_directions': ['home', 'the park', 'w'], 'open_and_get_file_path': ['Family Picnic Itinerary.pdf'], 'summarize_pdf': ['$2'], 'join': []}"
Forward the email to Peter with the project updates attached.,"{'get_email_address': ['Peter'], 'open_and_get_file_path': ['project updates'], 'forward_email': [['$1'], [], '', ['$2']], 'join': []}"
"Summarize the \""Monthly Sales Report.pdf\"" and create a reminder to review it by next Monday at 10:00 AM.","{'open_and_get_file_path': ['Monthly Sales Report.pdf'], 'summarize_pdf': ['$1'], 'create_reminder': ['Review Monthly Sales Report', '2024-04-06 10:00:00', '', '', 0, False], 'join': []}"
"Compose a new email to Peter with the summary of the document \""Product Launch Plan.pdf\"" attached.","{'get_email_address': ['Peter'], 'open_and_get_file_path': ['Product Launch Plan.pdf'], 'summarize_pdf': ['$2'], 'compose_new_email': [['$1'], [], 'Summary of Product Launch Plan', '', ['$3']], 'join': []}"
"Forward the email to Mary and John, cc Sarah, and attach the document \""Proposal.pdf\"". Afterward, send a reply via email to the sender.",{}
"Update the note \""Competition Itinerary\"" with the new points discussed today. Compose an email to John with the subject \""Competition Recap\"" and attach the summary report. Additionally, create a reminder to follow up on action items by next Monday at 10:00 AM.",{}
"Create a note named \""Grocery List\"" with items \""milk, eggs, bread, fruits\"" in the \""Shopping\"" folder.",{}
"Create a reminder to \""Buy birthday gift for mom\"" on Friday and set high priority.","{'create_reminder': ['Buy birthday gift for mom', '2024-12-05 23:59:59', '', '', 1, True], 'join': []}"
"Summarize the content of the \""AnnualReport.pdf\"" file.","{'open_and_get_file_path': ['AnnualReport.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
"Please summarize the \""EngineeringReport.pdf\"" file for me.","{'open_and_get_file_path': ['EngineeringReport.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
"Schedule a study group session on Saturday at 10:00 AM to 12:00 PM via Zoom with Alex, Lily, and Max, on MacBook Bookstore's study room.",{}
"Create a reminder called \""Pay Rent\"" due next week with the note \""Don't forget to pay rent on time\"" and set it as an all-day event with high priority.",{}
"Summarize the \""HistoryPaper.pdf\"" and append key points to the note \""Exam Preparation\"" in the \""Study\"" folder. Then, show walking directions from \""Current Location\"" to \""Library\"" in Apple Maps.","{'open_and_get_file_path': ['HistoryPaper.pdf'], 'summarize_pdf': ['$1'], 'append_note_content': ['Exam Preparation', '$2', 'Study'], 'maps_show_directions': ['', 'Library', 'w'], 'join': []}"
"Set a reminder to \""Buy Birthday Gift\"" for next Saturday, mark it as an all-day event with high priority, and include a note about gift ideas.",{}
"Forward the email about the party details to John and Sarah with the cc to Emily, and attach the party invitation as an attachment. After that, look up Emily's email address and get directions from \""Home\"" to \""Party Venue\"" for tomorrow evening.",{}
"Open Apple Maps and search for the nearest coffee shop to \""123 Main Street\"".",Error: 1
"Open the \""Project Proposal.docx\"" file and create a reminder to review the proposal by next Friday at 3:00 PM.","{'open_and_get_file_path': ['Project Proposal.docx'], 'create_reminder': ['Review Project Proposal', '2024-05-06 15:00:00', '', '', 0, False], 'join': []}"
"Show walking directions from \""Home\"" to \""Park\"" in Apple Maps.","{'maps_show_directions': ['Home', 'Park', 'w'], 'join': []}"
"Set a reminder to \""Buy birthday cake\"" by next Saturday with a priority of medium.","{'create_reminder': ['Buy birthday cake', '2024-12-06 23:59:59', '', '', 2, True], 'join': []}"
"Add the discussion points for the history exam to the note titled \""History Exam Preparation\"" in the \""Study Notes\"" folder.","{'append_note_content': ['History Exam Preparation', 'Discussion points for the history exam will be added here.', 'Study Notes'], 'join': []}"
"Create a note titled \""Match Plan\"" with the timetable points for the upcoming discussion. After that, reply to the email with additional information and attach the document \""Report.pdf\"". Finally, schedule a team competition for next Monday at 10:00 AM in the conference room.",{}
"Send an email to Marco with the workshop itinerary attached. Embed the location of the workshop venue, \""Addison Conference Room,\"" in the email context for easy access.",{}
"Append the lecture notes to the note \""Weekly Updates\"" in the \""Work\"" folder, then forward the latest project status email to John and Sarah with additional comments, and create a summary of the \""Financial Report.pdf\"".",{}
"Open the file \""PresentationSlides.pptx\"" to review and prepare for the town hall tomorrow.","{'open_and_get_file_path': ['PresentationSlides.pptx'], 'join': []}"
"Create a reminder to \""Buy Birthday Gift for Mom\"" by next Friday with notes \""Find a nice perfume\"" in the \""Shopping\"" list with high priority.",{}
"Reply to the last received email with the rally minutes attached, create a reminder to prepare for the presentation due next week, and open the file \""Financial Report.pdf\"" for review.",{}
"Send an email to John and Sarah regarding the team class tomorrow with the presentation slides attached. Also, create a reminder to prepare class notes before the session.",{}
"Create a reminder to \""Buy Birthday Gift for Mom\"" for next Saturday, mark it as high priority, then forward the email containing the gift ideas to Kate and Lee for feedback.",{}
"Create a calendar event titled \""Birthday Party\"" on October 10th at 7:00 PM at \""Sunset Gardens\"" for guests Sarah, Jack, and Emily. Also, create a note titled \""Party Ideas\"" in the \""Events\"" folder and then open this note for adding more details.",{}
"Append the latest updates to the \""Project Notebook\"" note in the \""Work\"" folder and open the note \""Party Minutes\"" in the \""Notes\"" folder. Next, create a new note titled \""Vacation Planning\"" and add your travel itinerary in the note.",{}
"Show me walking directions from my current location to Addison Apartments, and append \""Debate notes for today's presentation\"" to the \""Work\"" note.",{}
"Forward the email with the attachment \""MatchDetails.docx\"" to John and Sarah, create a calendar event titled \""Client Match\"" for next Monday at 2:00 PM at \""Office\"", and set a reminder to \""Buy tickets for the concert\"" by next Friday. Lastly, open \""Newark\"" in Apple Maps.",{}
"Open the file \""Study_Guide.docx\"" to review, and create a note titled \""Exam Prep\"" with key points for the upcoming test.","{'open_and_get_file_path': ['Study_Guide.docx'], 'summarize_pdf': ['$1'], 'create_note': ['Exam Prep', '$2', ''], 'join': []}"
"Open the file \""Lab_Report.pdf\"" to review, summarize its content, and then reply to the email with the summary attached. Finally, send an SMS to John and Jane with the main points from the lab report.",{}
"Create a reminder to call Mary tomorrow afternoon, open the note with Mary's contact details, and then send her an SMS to confirm the class time.","{'create_reminder': ['Call Mary', '2024-12-01 15:00:00', '', '', 0, False], 'open_note': [""Mary's contact details"", ''], 'send_sms': [['$2'], 'Hi Mary, just a reminder to call you tomorrow afternoon.'], 'join': []}"
"Append the key points about quantum mechanics to the note \""Physics Study\"" in the \""Science\"" folder and then open the note to review the content.","{'append_note_content': ['Physics Study', 'Key points about quantum mechanics:', 'Science'], 'open_note': ['Physics Study', 'Science'], 'join': []}"
"Summarize the content of the \""Research_Report.pdf\"" file.","{'open_and_get_file_path': ['Research_Report.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
"Update the \""Recipe Ideas\"" note with new recipes for pasta in the \""Cooking\"" folder.",{}
"Append the concert outline to the \""Weekly Team Competition\"" note in the \""Work\"" folder, create a reminder to prepare for the concert by next Monday at 9:00 AM, and schedule a team concert on Monday from 10:00 AM to 11:00 AM with invitees John, Sarah, and Lisa.",{}
"Reply to the email from Alice and Bob with the latest updates on the project attached as \""ProjectReport.pdf\"".",{}
"Create a reminder to \""Buy Birthday Cake\"" with note \""Don't forget candles\"" for tomorrow, set it as an all-day reminder and send an SMS to John about the party details.","{'create_reminder': ['Buy Birthday Cake', '2024-12-01', ""Don't forget candles"", '', 0, True], 'get_phone_number': ['John'], 'send_sms': [['$2'], 'Hi John, just a reminder to buy the birthday cake!'], 'join': []}"
"Compose an email to Alex and Emma, cc John, with the subject \""Project Festival Program,\"" attaching the file \""FestivalProgram.docx,\"" and include the Zoom link for the seminar in the context.",{}
"Forward the email with the subject \""Match Schedule\"" to Megan and James with a cc to Emily, attaching the document \""Schedule_Discussion.docx\"".","{'get_email_address': ['Emily'], 'open_and_get_file_path': ['Schedule_Discussion.docx'], 'forward_email': [['$1', '$2'], ['$3'], 'Match Schedule', ['$4']], 'join': []}"
"Forward the important email to Tom and Jane, cc to Mark, attach the seminar minutes, and open the note titled \""Project Ideas\"" in the \""Ideas\"" folder for reference.","{'get_email_address': ['Mark'], 'open_and_get_file_path': ['seminar minutes'], 'forward_email': [['$1', '$2'], ['$3'], '', ['$4']], 'open_note': ['Project Ideas', 'Ideas'], 'join': []}"
"Summarize the content of the \""Project Proposal.pdf,\"" create a performance titled \""Project Discussion\"" for next Monday at 2:00 PM with John and Kate, and find the phone number for Sarah to inform her about the performance.",{}
"Compose a new email with the subject \""Campaign Itinerary\"" for tomorrow's team reunion. Attach the document \""Campaign_Itinerary.pdf\"" and summarize its key points in the email content. Additionally, include the Zoom reunion link in the context for the attendees.","{'open_and_get_file_path': ['Campaign_Itinerary.pdf'], 'summarize_pdf': ['$1'], 'get_zoom_meeting_link': ['Team Reunion', '2024-12-01 09:00:00', 60, []], 'compose_new_email': [[''], [], 'Campaign Itinerary', '$2\n\nZoom reunion link: $3', ['$1']], 'join': []}"
"Create a note called \""Gathering Itinerary\"" with the program items for the marketing debate, then add additional details to the note including the new sales figures. After that, create a calendar event for the marketing debate tomorrow at 2:00 PM with John, Sarah, and Emma invited.",{}
"Create a calendar event titled \""Team Celebration\"" on Monday at 2:00 PM with Canberk, Alice, and Jake invited. In the event notes, mention the program. After that, compose a new email to notify the team about this party.",{}
"Summarize the \""Research Paper.pdf\"" and create a note with the summary in the \""Study Notes\"" folder.","{'open_and_get_file_path': ['Research Paper.pdf'], 'summarize_pdf': ['$1'], 'create_note': ['Summary of Research Paper', '$2', 'Study Notes'], 'join': []}"
"Send a text message to Mom with the message \""On my way home now\"" and then check the directions from your current location to \""Home\"" using public transit in Apple Maps.","{'send_sms': [['$1'], 'On my way home now'], 'maps_show_directions': ['', 'Home', 'r'], 'join': []}"
"Forward the email about the team outing to Sarah, Tom, and Emily with the location of the picnic spot added in the email context. Also, send an SMS to Dad and Mom with the message \""Excited for the picnic tomorrow!\""",{}
"Send a reminder message to Sarah, John, and Emma about the group study session tomorrow at 2:00 PM.","{'get_phone_number': ['Emma'], 'send_sms': [['$1', '$2', '$3'], 'Hi everyone, just a reminder about our group study session tomorrow at 2:00 PM. See you there!'], 'join': []}"
"Forward the celebration details to Jane.Doe@gmail.com and John.Smith@yahoo.com, including the notes from the discussion, and also create a note summarizing the celebration outcomes in the \""Minutes\"" folder.","{'forward_email': [['Jane.Doe@gmail.com', 'John.Smith@yahoo.com'], [], 'Please see the attached notes for the celebration details.', []], 'open_note': ['celebration discussion notes', ''], 'create_note': ['Celebration Outcomes Summary', '$2', 'Minutes'], 'join': []}"
"Create a note titled \""Show Plan\"" with the program details, save it to the \""Work\"" folder, open the location of tomorrow's concert in Apple Maps, and then send a reminder SMS to all attendees.",{}
"Create a reminder to \""Call Grandma\"" on Sunday, then compose an email to Mom with the subject \""Family Update\"" and attach the \""FamilyNewsletter.pdf\"". Finally, open the note titled \""Recipe Ideas\"" in the \""Cooking\"" folder.",{}
"Reply to an email with the summarized content of the attachment named \""MarketingReport.pdf\"" included in the reply.",{}
"Compose a new email to Peter and Lisa with the subject \""Party Schedule\"" and attach the document \""Schedule.docx\"".",{}
"Create a calendar event named \""Team Debate\"" for next Monday at 2:00 PM at the office, inviting John, Sarah, and Tom.","{'get_email_address': ['Tom'], 'create_calendar_event': ['Team Debate', '2024-12-05 14:00:00', '2024-12-05 15:00:00', 'the office', ['$1', '$2', '$3'], '', None], 'join': []}"
"Forward the email to Emma and Tom with cc to John, include the concert schedule attachment, and show driving directions from \""Home\"" to \""Work\"" in Apple Maps. Lastly, append the driving directions link to the note \""Commute Plans\"" in the \""Personal\"" folder.",{}
"Reply to the email from John Doe about the team workshop details with the location updated to \""Conference Room A,\"" and create a reminder to confirm attendance by next Friday.",{}
"Update the contact information for Sarah by adding her email address to the existing note \""Contacts\"" in the \""Personal\"" folder, and then create a new note titled \""Game Plan\"" for tomorrow's discussion topics in the \""Work\"" folder.",{}
"Forward the email with the latest updates to Eliza and Mark, cc to Chris, and attach the files \""Q3_Report.pdf\"" and \""Q4_Projections.xlsx\"".","{'get_email_address': ['Chris'], 'open_and_get_file_path': ['Q4_Projections.xlsx'], 'forward_email': [['$1', '$2'], ['$3'], '', ['$4', '$5']], 'join': []}"
"Reply to the email with the attachment \""ProtestNotes.pdf\"" and cc John and Sarah. Additionally, compose a new email to Mom with the subject \""Family Gathering\"" and include the Zoom link in the context for a virtual meetup.",{}
"Open the note titled \""Weekly Objectives\"" in the \""Work\"" folder.","{'open_note': ['Weekly Objectives', 'Work'], 'join': []}"
"Append the protest schedule to the note \""Team Match\"" in the \""Matchs\"" folder, open the document \""Calendar.docx,\"" and compose a new email to John.Doe@email.com with the subject \""Match Calendar\"" and attach the document.",{}
"Show me walking directions from \""NYU\"" to \""Times Square\"" in Apple Maps.","{'maps_show_directions': ['NYU', 'Times Square', 'w'], 'join': []}"
"Text Alice \""I'm on my way\"" and get directions from your current location to the Apple Store in driving mode.",{}
"Send a reminder message about tomorrow's event to Sarah and Mark via SMS, and update the \""Event Planning\"" note in the \""Work\"" folder with additional details.",{}
